policy,seed,any_failure_rate,mean_max_active,mean_stall_rate,mean_recovery_rate,mean_brier,top1_hit_rate,mean_moved_nodes,mean_controller_ms,overthreshold_shard_epoch,suite
random_local_exchange,120018,1.0,9.208333333333334,0.0439814814814814,0.2172710905349794,0.0194314727897242,1.0,4.333333333333333,0.913138000002552,0.1666666666666666,heldout
random_local_exchange,120019,1.0,8.958333333333334,0.0354295267489711,0.2165637860082304,0.0175105944332296,1.0,4.166666666666667,0.918737916665672,0.162037037037037,heldout
random_local_exchange,120020,0.7083333333333334,8.0,0.021412037037037,0.2210005144032922,0.0306816542112155,0.9166666666666666,3.9166666666666665,0.8023770416656362,0.1203703703703703,heldout
random_local_exchange,120021,0.7083333333333334,8.166666666666666,0.0230838477366255,0.2137988683127571,0.0075333809133715,0.9166666666666666,3.583333333333333,0.7920090833361352,0.0787037037037037,heldout
random_local_exchange,120022,0.375,7.375,0.0158822016460905,0.2128343621399177,0.0195718821567024,0.9583333333333334,4.25,0.7903400000041453,0.0416666666666666,heldout
random_local_exchange,120023,0.8333333333333334,8.833333333333334,0.0349151234567901,0.2193287037037037,0.0212453444822235,1.0,3.25,0.7930982499952203,0.0925925925925925,heldout
risk_aware_exchange,120000,0.125,6.666666666666667,0.0155606995884773,0.220486111111111,0.0035986944843279,0.8333333333333334,2.4166666666666665,60.30307416666621,0.0138888888888888,heldout
risk_aware_exchange,120001,0.0833333333333333,7.083333333333333,0.014917695473251,0.2188786008230452,0.016642401570253,0.7916666666666666,3.0,60.23767591666444,0.0092592592592592,heldout
risk_aware_exchange,120002,0.0833333333333333,7.083333333333333,0.0148533950617283,0.2158564814814814,0.010470096617237,0.5416666666666666,2.5,59.449520083333006,0.0092592592592592,heldout
risk_aware_exchange,120003,0.0833333333333333,6.541666666666667,0.0165895061728395,0.2174639917695473,0.0079362159695599,0.9166666666666666,1.9166666666666667,52.40878204166558,0.0092592592592592,heldout
risk_aware_exchange,120004,0.0,6.666666666666667,0.0137602880658436,0.2166280864197531,0.0100248373013894,0.6666666666666666,2.0,53.64654620833361,0.0,heldout
risk_aware_exchange,120005,0.1666666666666666,6.916666666666667,0.0141460905349794,0.2160493827160493,0.0102261209596382,0.6666666666666666,3.0,54.12129224999992,0.0185185185185185,heldout
risk_aware_exchange,120006,0.1666666666666666,7.166666666666667,0.0152391975308641,0.2130915637860082,0.022304516069804,0.7916666666666666,3.0,54.27679987500274,0.0185185185185185,heldout
risk_aware_exchange,120007,0.125,6.75,0.0152391975308641,0.2172710905349794,0.0109239197342446,0.6666666666666666,2.0,60.00583345833258,0.0138888888888888,heldout
risk_aware_exchange,120008,0.1666666666666666,7.083333333333333,0.0190972222222222,0.2213220164609053,0.0090657949097411,0.75,2.75,54.57206012499919,0.0185185185185185,heldout
risk_aware_exchange,120009,0.125,6.416666666666667,0.0114454732510288,0.21997170781893,0.0050192203812066,0.75,2.333333333333333,52.6487879583352,0.0138888888888888,heldout
risk_aware_exchange,120010,0.125,6.625,0.0151105967078189,0.2110339506172839,0.01672456038925,0.875,2.5,51.83153345832992,0.0138888888888888,heldout
