policy,seed,any_failure_rate,mean_max_active,mean_stall_rate,mean_recovery_rate,mean_brier,top1_hit_rate,mean_moved_nodes,mean_controller_ms,malicious_fraction
no_reconfig,70325,1.0,10.0,0.1158050411522633,0.2823431069958848,0.0023793454810101,0.9583333333333334,0.0,0.934411708319279,0.32
no_reconfig,70326,1.0,10.0,0.1017875514403292,0.2863940329218107,0.0352274208297128,1.0,0.0,0.9329100416361296,0.32
no_reconfig,70327,1.0,12.0,0.257716049382716,0.1900720164609053,0.014419994499027,1.0,0.0,0.9594308333760182,0.32
risk_aware_exchange,70324,1.0,10.875,0.0888631687242798,0.2554655349794238,0.0233800511809476,1.0,10.583333333333334,57.6605889166899,0.32
risk_aware_exchange,70325,1.0,10.0,0.1158050411522633,0.2823431069958848,0.0023793454810101,0.9583333333333334,0.0,64.61920800001053,0.32
risk_aware_exchange,70326,1.0,10.0,0.1017875514403292,0.2863940329218107,0.0352274208297128,1.0,0.0,62.70321162498741,0.32
risk_aware_exchange,70327,1.0,12.0,0.257716049382716,0.1900720164609053,0.014419994499027,1.0,0.0,57.053504958361145,0.32
no_reconfig,70208,0.0,7.0,0.0111239711934156,0.1806198559670782,0.0078618610683403,0.5833333333333334,0.0,22.020748208348092,0.2
no_reconfig,70209,0.0,6.0,0.0094521604938271,0.1840277777777778,0.0012097368454152,0.75,0.0,0.7749044583249542,0.2
no_reconfig,70210,0.0,7.0,0.0102237654320987,0.187307098765432,0.0034121657986455,0.6666666666666666,0.0,0.7793409166746793,0.2
no_reconfig,70211,1.0,8.0,0.013503086419753,0.1905864197530864,0.0227689018828046,0.9583333333333334,0.0,0.7898480000013327,0.2
risk_aware_exchange,70208,0.0,5.708333333333333,0.0080375514403292,0.1819058641975308,0.0017809490608641,0.7916666666666666,2.333333333333333,51.20780875000719,0.2
risk_aware_exchange,70209,0.0,5.125,0.0084876543209876,0.1870498971193415,0.0004236006966112,0.9583333333333334,2.9166666666666665,52.60207183332,0.2
risk_aware_exchange,70210,0.0,6.25,0.0095164609053497,0.1876929012345679,0.0019911637665439,0.7916666666666666,4.0,52.17940858334676,0.2
risk_aware_exchange,70211,0.0833333333333333,6.166666666666667,0.0086162551440329,0.1864711934156378,0.0016560817016889,0.625,3.25,52.48683400000687,0.2
no_reconfig,70248,1.0,8.0,0.0188400205761316,0.2220293209876543,0.0190416897986071,0.9166666666666666,0.0,0.8557136666335433,0.24
no_reconfig,70249,1.0,8.0,0.0204475308641975,0.2229938271604938,0.0244917813214556,0.9583333333333334,0.0,0.8438741666528434,0.24
no_reconfig,70250,1.0,10.0,0.0529835390946502,0.2048611111111111,0.0099406614361095,1.0,0.0,0.8355228333603767,0.24
no_reconfig,70251,1.0,10.0,0.0527263374485596,0.210133744855967,0.0053897552401328,1.0,0.0,0.8267524583231989,0.24
risk_aware_exchange,70248,0.4583333333333333,7.458333333333333,0.014210390946502,0.222608024691358,0.0132650615967294,0.7083333333333334,7.583333333333333,52.00526708337824,0.24
risk_aware_exchange,70249,0.0833333333333333,6.833333333333333,0.0131172839506172,0.2174639917695473,0.0142732663131363,0.7083333333333334,6.25,54.3921123750124,0.24
risk_aware_exchange,70250,0.0833333333333333,6.916666666666667,0.0144032921810699,0.2159207818930041,0.0078286686199819,0.8333333333333334,5.0,52.44604812497755,0.24
risk_aware_exchange,70251,0.3333333333333333,7.458333333333333,0.0171039094650205,0.2170138888888888,0.0229050748854658,0.5416666666666666,6.166666666666667,52.28206120834974,0.24
no_reconfig,70288,1.0,9.0,0.0432741769547325,0.252636316872428,0.0318808616811892,1.0,0.0,0.8215635416680319,0.28
no_reconfig,70289,1.0,9.0,0.0553626543209876,0.2635030864197531,0.0170849530780611,1.0,0.0,0.833849583329993,0.28
no_reconfig,70290,1.0,10.0,0.1001800411522633,0.2309027777777778,0.0055615012778155,1.0,0.0,0.8792759167211747,0.28
no_reconfig,70291,1.0,9.0,0.0439814814814814,0.2537294238683127,0.0257787908512509,1.0,0.0,0.8319173749669062,0.28
